file,family,size_bytes,rows,columns,schema_id,null_cells,null_counts
data/raw/rent/202001/26350.parquet,raw/rent,32317,682,27,f9ddc1e469,3,"{""aptNm"":0,""aptSeq"":0,""buildYear"":0,""contractTerm"":0,""contractType"":0,""dealDay"":0,""dealMonth"":0,""dealYear"":0,""deposit"":0,""excluUseAr"":0,""floor"":0,""jibun"":0,""monthlyRent"":0,""preDeposit"":0,""preMonthlyRent"":0,""roadnm"":0,""roadnmbcd"":3,""roadnmbonbun"":0,""roadnmbubun"":0,""roadnmcd"":0,""roadnmseq"":0,""roadnmsggcd"":0,""sggCd"":0,""umdNm"":0,""useRRRight"":0,""lawd_cd"":0,""requested_deal_ymd"":0}"
data/raw/rent/202001/26380.parquet,raw/rent,21922,187,27,f9ddc1e469,12,"{""aptNm"":0,""aptSeq"":0,""buildYear"":0,""contractTerm"":0,""contractType"":0,""dealDay"":0,""dealMonth"":0,""dealYear"":0,""deposit"":0,""excluUseAr"":0,""floor"":0,""jibun"":0,""monthlyRent"":0,""preDeposit"":0,""preMonthlyRent"":0,""roadnm"":0,""roadnmbcd"":12,""roadnmbonbun"":0,""roadnmbubun"":0,""roadnmcd"":0,""roadnmseq"":0,""roadnmsggcd"":0,""sggCd"":0,""umdNm"":0,""useRRRight"":0,""lawd_cd"":0,""requested_deal_ymd"":0}"
data/raw/rent/202001/26410.parquet,raw/rent,23355,252,27,f9ddc1e469,11,"{""aptNm"":0,""aptSeq"":0,""buildYear"":0,""contractTerm"":0,""contractType"":0,""dealDay"":0,""dealMonth"":0,""dealYear"":0,""deposit"":0,""excluUseAr"":0,""floor"":0,""jibun"":0,""monthlyRent"":0,""preDeposit"":0,""preMonthlyRent"":0,""roadnm"":0,""roadnmbcd"":11,""roadnmbonbun"":0,""roadnmbubun"":0,""roadnmcd"":0,""roadnmseq"":0,""roadnmsggcd"":0,""sggCd"":0,""umdNm"":0,""useRRRight"":0,""lawd_cd"":0,""requested_deal_ymd"":0}"
data/raw/rent/202001/26440.parquet,raw/rent,22805,513,27,f9ddc1e469,8,"{""aptNm"":0,""aptSeq"":0,""buildYear"":0,""contractTerm"":0,""contractType"":0,""dealDay"":0,""dealMonth"":0,""dealYear"":0,""deposit"":0,""excluUseAr"":0,""floor"":0,""jibun"":0,""monthlyRent"":0,""preDeposit"":0,""preMonthlyRent"":0,""roadnm"":0,""roadnmbcd"":8,""roadnmbonbun"":0,""roadnmbubun"":0,""roadnmcd"":0,""roadnmseq"":0,""roadnmsggcd"":0,""sggCd"":0,""umdNm"":0,""useRRRight"":0,""lawd_cd"":0,""requested_deal_ymd"":0}"
data/raw/rent/202001/26470.parquet,raw/rent,23953,308,27,f9ddc1e469,17,"{""aptNm"":0,""aptSeq"":0,""buildYear"":0,""contractTerm"":0,""contractType"":0,""dealDay"":0,""dealMonth"":0,""dealYear"":0,""deposit"":0,""excluUseAr"":0,""floor"":0,""jibun"":0,""monthlyRent"":0,""preDeposit"":0,""preMonthlyRent"":0,""roadnm"":0,""roadnmbcd"":17,""roadnmbonbun"":0,""roadnmbubun"":0,""roadnmcd"":0,""roadnmseq"":0,""roadnmsggcd"":0,""sggCd"":0,""umdNm"":0,""useRRRight"":0,""lawd_cd"":0,""requested_deal_ymd"":0}"
data/raw/rent/202001/26500.parquet,raw/rent,23770,284,27,f9ddc1e469,22,"{""aptNm"":0,""aptSeq"":0,""buildYear"":0,""contractTerm"":0,""contractType"":0,""dealDay"":0,""dealMonth"":0,""dealYear"":0,""deposit"":0,""excluUseAr"":0,""floor"":0,""jibun"":0,""monthlyRent"":0,""preDeposit"":0,""preMonthlyRent"":0,""roadnm"":0,""roadnmbcd"":22,""roadnmbonbun"":0,""roadnmbubun"":0,""roadnmcd"":0,""roadnmseq"":0,""roadnmsggcd"":0,""sggCd"":0,""umdNm"":0,""useRRRight"":0,""lawd_cd"":0,""requested_deal_ymd"":0}"
data/raw/rent/202001/26530.parquet,raw/rent,20426,145,27,f9ddc1e469,15,"{""aptNm"":0,""aptSeq"":0,""buildYear"":0,""contractTerm"":0,""contractType"":0,""dealDay"":0,""dealMonth"":0,""dealYear"":0,""deposit"":0,""excluUseAr"":0,""floor"":0,""jibun"":0,""monthlyRent"":0,""preDeposit"":0,""preMonthlyRent"":0,""roadnm"":0,""roadnmbcd"":15,""roadnmbonbun"":0,""roadnmbubun"":0,""roadnmcd"":0,""roadnmseq"":0,""roadnmsggcd"":0,""sggCd"":0,""umdNm"":0,""useRRRight"":0,""lawd_cd"":0,""requested_deal_ymd"":0}"
data/raw/rent/202001/26710.parquet,raw/rent,24281,388,27,f9ddc1e469,32,"{""aptNm"":0,""aptSeq"":0,""buildYear"":0,""contractTerm"":0,""contractType"":0,""dealDay"":0,""dealMonth"":0,""dealYear"":0,""deposit"":0,""excluUseAr"":0,""floor"":0,""jibun"":0,""monthlyRent"":0,""preDeposit"":0,""preMonthlyRent"":0,""roadnm"":0,""roadnmbcd"":32,""roadnmbonbun"":0,""roadnmbubun"":0,""roadnmcd"":0,""roadnmseq"":0,""roadnmsggcd"":0,""sggCd"":0,""umdNm"":0,""useRRRight"":0,""lawd_cd"":0,""requested_deal_ymd"":0}"
data/raw/rent/202002/26110.parquet,raw/rent,15752,20,27,f9ddc1e469,0,"{""aptNm"":0,""aptSeq"":0,""buildYear"":0,""contractTerm"":0,""contractType"":0,""dealDay"":0,""dealMonth"":0,""dealYear"":0,""deposit"":0,""excluUseAr"":0,""floor"":0,""jibun"":0,""monthlyRent"":0,""preDeposit"":0,""preMonthlyRent"":0,""roadnm"":0,""roadnmbcd"":0,""roadnmbonbun"":0,""roadnmbubun"":0,""roadnmcd"":0,""roadnmseq"":0,""roadnmsggcd"":0,""sggCd"":0,""umdNm"":0,""useRRRight"":0,""lawd_cd"":0,""requested_deal_ymd"":0}"
data/raw/rent/202002/26140.parquet,raw/rent,18606,88,27,f9ddc1e469,9,"{""aptNm"":0,""aptSeq"":0,""buildYear"":0,""contractTerm"":0,""contractType"":0,""dealDay"":0,""dealMonth"":0,""dealYear"":0,""deposit"":0,""excluUseAr"":0,""floor"":0,""jibun"":0,""monthlyRent"":0,""preDeposit"":0,""preMonthlyRent"":0,""roadnm"":0,""roadnmbcd"":9,""roadnmbonbun"":0,""roadnmbubun"":0,""roadnmcd"":0,""roadnmseq"":0,""roadnmsggcd"":0,""sggCd"":0,""umdNm"":0,""useRRRight"":0,""lawd_cd"":0,""requested_deal_ymd"":0}"
