internal_complex_id,complex_name,sigungu,dong,households,approval_date,apartment_age,parking_total,parking_per_household,transactions_3m,transactions_6m,transactions_12m,area_variety,latitude,longitude,road_address,provisional,turnover_12m,price_84,price_84_per_3_3sqm,price_change_3m,price_change_6m,price_change_12m,rolling_peak,drawdown_from_peak,rolling_trough,recovery_from_trough,sample_count,low_sample_flag
A61478901,연지자이2차,부산진구,연지동,1011.0,2011-12-02,14,1282.0,1.268051434223541,13.0,36.0,66.0,5,35.1738340168288,129.048361881117,부산광역시 부산진구 초연로 11,True,0.06528189910979229,482500000.0,18749668.811785005,0.005208333333333259,0.06666666666666665,0.027472527472527375,640000000.0,-0.234375,399000000.0,0.22807017543859653,19.0,False
A61479104,현대2차,부산진구,양정동,1901.0,1998-07-15,28,1982.0,1.0426091530773278,14.0,44.0,82.0,3,35.1707552940831,129.066457433194,부산광역시 부산진구 거제대로 37,True,0.04313519200420831,397500000.0,15434168.725732438,0.046052631578947345,0.09116022099447507,0.0202090592334494,560000000.0,-0.2857142857142857,282500000.0,0.415929203539823,16.0,False
A61479403,쌍용스윗닷홈,부산진구,부암동,718.0,2004-12-17,21,1014.0,1.4122562674094707,1.0,3.0,23.0,1,35.175718691386,129.03275978455,부산광역시 부산진구 백양산로 70,True,0.03203342618384401,,,,,,,,,,,
A61479404,백양산삼정그린코아,부산진구,부암동,215.0,2012-12-12,13,226.0,1.0511627906976744,2.0,4.0,8.0,2,35.1745940406914,129.034798325839,부산광역시 부산진구 용사촌로 52-16,True,0.037209302325581395,,,,-0.06382978723404253,-0.010869565217391353,280000000.0,-0.2142857142857143,220000000.0,0.0,1.0,True
A61479502,반도보라빌,부산진구,가야동,1048.0,2005-02-02,21,1309.0,1.2490458015267176,4.0,16.0,40.0,4,35.1505026878858,129.032373713462,부산광역시 부산진구 가야공원로 41,True,0.03816793893129771,440000000.0,17110575.325419102,0.0931677018633541,-0.038529934795494936,0.008536585365853666,545000000.0,-0.17431192660550454,350000000.0,0.2857142857142858,9.0,False
A61479503,가야동원로얄듀크,부산진구,가야동,304.0,2013-05-01,13,305.0,1.0032894736842106,2.0,3.0,14.0,4,35.1540473007319,129.030183984771,부산광역시 부산진구 가야대로 531,True,0.046052631578947366,430000000.0,16696297.987148909,,0.031175059952038398,0.03041362530413627,518000000.0,-0.16988416988416988,360000000.0,0.19444444444444442,1.0,True
A61479605,동일스위트,부산진구,당감동,1090.0,2005-03-28,21,1265.0,1.1605504587155964,7.0,15.0,37.0,4,35.1671767965506,129.025974675989,부산광역시 부산진구 백양관문로 115,True,0.03394495412844037,247500000.0,10179181.004345858,-0.07476635514018692,0.0658307210031348,-0.014778325123152691,360000000.0,-0.33333333333333337,227500000.0,0.05494505494505497,9.0,False
A61479902,대원칸타빌멤버스,부산진구,양정동,840.0,2006-08-29,20,1213.0,1.444047619047619,7.0,11.0,29.0,3,35.1715683917271,129.068601210916,부산광역시 부산진구 거제대로 26,True,0.034523809523809526,441250000.0,17162836.227830976,-0.005073280721533235,0.019596541786743416,0.03157894736842115,552500000.0,-0.19909502262443435,330000000.0,0.34090909090909083,7.0,False
A61480002,유림,부산진구,가야동,300.0,1996-02-17,30,249.0,0.83,0.0,1.0,7.0,3,35.1555220259297,129.038464264142,부산광역시 부산진구 가야대로679번길 155,True,0.023333333333333334,,,,0.02752293577981657,-0.03508771929824561,340000000.0,-0.17647058823529416,263000000.0,0.06463878326996197,1.0,True
A61480003,화신,부산진구,가야동,299.0,1999-12-28,26,314.0,1.0501672240802675,1.0,2.0,6.0,3,35.1560687188261,129.03841338639,부산광역시 부산진구 가야대로679번길 166,True,0.020066889632107024,,,,0.23434704830053676,-0.06774193548387097,400000000.0,-0.13749999999999996,270000000.0,0.2777777777777777,1.0,True
A61480901,한진,부산진구,개금동,180.0,1992-07-30,34,113.0,0.6277777777777778,0.0,2.0,4.0,2,35.1616305877335,129.025644385027,부산광역시 부산진구 백양대로208번길 88,True,0.022222222222222223,,,,0.03333333333333344,-0.09090909090909094,185000000.0,-0.16216216216216217,150000000.0,0.03333333333333344,1.0,True
A61480902,삼환,부산진구,개금동,240.0,1995-09-07,31,208.0,0.8666666666666667,1.0,3.0,6.0,1,35.1621362327193,129.023358816377,부산광역시 부산진구 백양대로208번길 133,True,0.025,160000000.0,6216884.493111974,-0.06976744186046513,-0.01538461538461533,-0.11602209944751385,230000000.0,-0.30434782608695654,154000000.0,0.03896103896103886,3.0,False
A61480906,현대,부산진구,개금동,450.0,1992-12-30,33,217.0,0.4822222222222222,5.0,8.0,14.0,2,35.1599312043252,129.022396030521,부산광역시 부산진구 개금본동로 34,True,0.03111111111111111,167000000.0,6487727.352993113,-0.04571428571428571,0.09868421052631571,-0.07246376811594202,225000000.0,-0.2577777777777778,133000000.0,0.255639097744361,6.0,False
