internal_complex_id,complex_name,sigungu,dong,households,approval_date,apartment_age,parking_total,parking_per_household,transactions_3m,transactions_6m,transactions_12m,area_variety,latitude,longitude,road_address,provisional,turnover_12m,price_84,price_84_per_3_3sqm,price_change_3m,price_change_6m,price_change_12m,rolling_peak,drawdown_from_peak,rolling_trough,recovery_from_trough,sample_count,low_sample_flag,p_households,p_turnover,p_price_84,p_area_variety,representative_score,scope,rank
A61674912,화명뜨란채,북구,금곡동,981.0,2004-07-02,22,865.0,0.8817533129459735,15.0,34.0,62.0,3,35.242884949859,129.010879993085,부산광역시 북구 화명신도시로 219,True,0.06320081549439348,355000000.0,13834435.521965044,0.05341246290801194,-0.02259887005649719,,430000000.0,-0.17441860465116277,310000000.0,0.14516129032258074,2.0,True,0.8235294117647058,1.0,0.8888888888888888,0.8888888888888888,0.9026143790849672,dong,1.0
A61677013,화명한일유앤아이,북구,금곡동,1026.0,2002-02-08,24,1038.0,1.0116959064327486,9.0,19.0,50.0,2,35.2425002245561,129.012496205717,부산광역시 북구 화명신도시로 194,True,0.04873294346978557,322000000.0,12725748.502994012,-0.11049723756906082,-0.08843537414965985,0.021428571428571352,450000000.0,-0.2844444444444445,278000000.0,0.15827338129496393,12.0,False,0.8823529411764706,0.8823529411764706,0.6666666666666666,0.5277777777777778,0.7752450980392156,dong,3.0
A61680705,삼정그린코아,북구,구포동,668.0,1999-01-15,27,668.0,1.0,5.0,13.0,28.0,4,35.1955122900511,128.995071289777,부산광역시 북구 백양대로1016번길 10,True,0.041916167664670656,311000000.0,12108305.804624822,0.07705627705627704,-0.031350482315112504,0.10363636363636353,410000000.0,-0.25609756097560976,245000000.0,0.24489795918367352,6.0,False,0.8181818181818182,0.7727272727272727,0.8333333333333334,0.9508196721311475,0.8282290114257328,dong,4.0
A61680707,구포현대,북구,구포동,1741.0,1994-02-28,32,918.0,0.527283170591614,19.0,29.0,54.0,3,35.1955368874101,128.993534496345,부산광역시 북구 백양대로 1003,True,0.031016657093624354,230000000.0,8938876.457425509,-0.07723169508525574,-0.07549019607843133,-0.004123711340206171,368000000.0,-0.42934782608695654,184500000.0,0.1382113821138211,11.0,False,1.0,0.5909090909090909,0.5,0.8442622950819673,0.7289120715350224,dong,5.0
A61682607,대성타워,북구,만덕동,816.0,1991-11-22,34,542.0,0.6642156862745098,7.0,13.0,29.0,2,35.2118089608169,129.035126434691,부산광역시 북구 덕천로259번길 30,True,0.03553921568627451,230000000.0,8952583.156404812,0.11922141119221408,0.04994192799070851,0.014277555682467247,315000000.0,-0.24444444444444446,181000000.0,0.3149171270718232,9.0,False,0.6666666666666666,0.7083333333333334,0.5333333333333333,0.3392857142857143,0.5967261904761905,dong,5.0
A61684110,화명리버빌2차,북구,금곡동,722.0,2003-06-17,23,735.0,1.018005540166205,3.0,12.0,28.0,2,35.2461885230218,129.011659906096,부산광역시 북구 화명신도시로 244,True,0.038781163434903045,315000000.0,12546154.979382018,-0.051204819277108404,0.060702875399361034,0.08290598290598283,405000000.0,-0.2716049382716049,186000000.0,0.586021505376344,11.0,False,0.7058823529411765,0.8235294117647058,0.5555555555555556,0.5277777777777778,0.6768790849673203,dong,4.0
A61701002,한일유엔아이,사상구,주례동,988.0,2005-02-03,21,1346.0,1.3623481781376519,5.0,15.0,28.0,3,35.1546524398987,129.010150704999,부산광역시 사상구 백양대로 372-15,True,0.02834008097165992,259500000.0,10151137.980085347,0.08125000000000004,-0.12368421052631584,-0.09340188517566406,360500000.0,-0.2801664355062413,240000000.0,0.08125000000000004,3.0,False,0.8636363636363636,0.7272727272727273,0.6666666666666666,0.7317073170731707,0.7536954915003695,dong,5.0
A61704002,덕포동벽산블루밍,사상구,덕포동,350.0,2006-01-18,20,358.0,1.022857142857143,3.0,6.0,13.0,2,35.1753871522419,128.987235551857,부산광역시 사상구 사상로342번길 39,True,0.037142857142857144,307500000.0,11943926.223671278,-0.05092592592592593,-0.05660377358490565,-0.003076923076923088,390000000.0,-0.2435897435897436,270000000.0,0.09259259259259256,3.0,False,0.3076923076923077,0.7692307692307693,0.8,0.3888888888888889,0.5814102564102565,dong,3.0
A61775901,한신,사상구,괘법동,434.0,1994-12-14,31,361.0,0.8317972350230415,1.0,4.0,8.0,3,35.1679519256883,128.980954474456,부산광역시 사상구 낙동대로1210번길 53,True,0.018433179723502304,,,,,-0.05035971223021585,360000000.0,-0.2666666666666667,235000000.0,0.123404255319149,1.0,True,0.7,0.3,,0.9387755102040817,0.4408163265306122,dong,5.0
A61776003,괘법한신2,사상구,괘법동,1094.0,1998-07-13,28,1096.0,1.0018281535648994,2.0,22.0,43.0,4,35.1679724796601,128.978429393566,부산광역시 사상구 낙동대로1210번길 33,True,0.03930530164533821,395000000.0,15342514.124293786,0.1301859799713876,-0.009589041095890427,0.03934191702432055,408000000.0,-0.031862745098039214,270000000.0,0.462962962962963,5.0,False,1.0,0.4,0.8,1.0,0.77,dong,2.0
