lawd_cd,dong,jibun,complex_name_normalized,trade_complex_name,kapt_complex_name,kapt_code,internal_complex_id,match_method,match_score,name_similarity,candidate_count,trade_road_address_key,trade_legal_address_key,manual_review
26320,덕천동,372-1,부영벽산파라빌,부영벽산파라빌,부영벽산파라빌,A61610001,A61610001,road_legal_address_exact,100.0,100.0,1,북구|만덕대로155번길|14,북구|덕천동|372-1,False
26320,덕천동,132-65,롯데,롯데,덕천동롯데아파트,A61610003,A61610003,road_legal_address_exact,100.0,57.14285714285714,1,북구|함박봉로|26,북구|덕천동|132-65,False
26320,만덕동,958,백양디이스트,백양디이스트(2단지),백양디이스트,A10027832,A10027832,dong_fuzzy,100.0,100.0,25,북구|덕천로276번길|85,북구|만덕동|958,False
26320,만덕동,670-1,협성파크,협성파크,만덕협성파크,A61682804,A61682804,road_legal_address_exact,100.0,80.0,1,북구|만덕1로|82,북구|만덕동|670-1,False
26320,금곡동,1917,율리역벽산블루밍2단지,율리역벽산블루밍2단지,율리벽산블루밍,A61673902,A61673902,dong_fuzzy,77.77777777777779,77.77777777777779,22,북구|효열로|2,북구|금곡동|1917,True
26320,만덕동,774-7,벽산라인타운,벽산라인타운,벽산라인타운 아파트,A61682908,A61682908,road_legal_address_exact,100.0,100.0,1,북구|덕천로|182,북구|만덕동|774-7,False
26320,만덕동,911-3,럭키2,럭키2,럭키만덕2차아파트,A61678804,A61678804,road_legal_address_exact,100.0,66.66666666666667,1,북구|덕천로234번길|34,북구|만덕동|911-3,False
26320,구포동,1060-495,파크블루9차,파크블루9차,,,TRADE_BE6A7BA0B502,unmatched,0.0,26.66666666666667,22,북구|낙동대로1694번나길|11,북구|구포동|1060-495,True
26320,만덕동,390,유림노르웨이숲,유림노르웨이숲,신만덕유림노르웨이숲아파트,A61682702,A61682702,road_legal_address_exact,100.0,82.35294117647058,1,북구|덕천로|345,북구|만덕동|390,False
26320,구포동,1084-3,협진태양,협진태양,구포협진태양아파트,A61680703,A61680703,road_legal_address_exact,100.0,80.0,1,북구|백양대로|1025,북구|구포동|1084-3,False
