internal_complex_id,complex_name,sigungu,dong,jibun,sido,region_code,region_key,region_name,region_level_1,region_level_2,market_area,is_busan,is_satellite,households,approval_date,apartment_age,parking_total,parking_per_household,transactions_3m,transactions_6m,transactions_12m,area_variety,latitude,longitude,road_address,provisional,turnover_12m,price_84,price_84_per_3_3sqm,price_change_3m,price_change_6m,price_change_12m,rolling_peak,drawdown_from_peak,rolling_trough,recovery_from_trough,sample_count,low_sample_flag
A10020224,현대하이페리온,해운대구,우동,1434-2,부산광역시,26350,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,112.0,2006-09-22,20,,,0.0,2.0,2.0,1,35.1572290241488,129.148226007006,부산광역시 해운대구 마린시티1로 155,True,0.017857142857142856,,,,,,,,,,,
A10020256,창신,사하구,당리동,237-2,부산광역시,26380,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,203.0,1985-03-18,41,100.0,0.49261083743842365,0.0,0.0,1.0,2,35.1073306666582,128.969796874961,부산광역시 사하구 승학로17번길 20,True,0.0049261083743842365,,,,,,,,,,,
A10020264,에코델타더베르힐,강서구,강동동,가-,부산광역시,26440,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,1120.0,2026-01-16,0,1584.0,1.4142857142857144,1.0,1.0,1.0,1,35.148743228502,128.914609008233,부산광역시 강서구 에코델타5로 60,True,0.0008928571428571428,540000000.0,20976304.54486598,,,,540000000.0,0.0,540000000.0,0.0,1.0,True
A10020301,e편한세상주촌더프리미어,김해시,주촌면선지리,1535,경상남도,48250,gimhae,김해,GYEONGNAM,김해시,GIMHAE,False,True,992.0,2025-12-22,0,1452.0,1.4637096774193548,2.0,3.0,3.0,2,35.2398649370958,128.836813103668,경상남도 김해시 주선로 140,True,0.0030241935483870967,460000000.0,17859117.67958531,,,,460000000.0,0.0,460000000.0,0.0,1.0,True
A10020370,태림,영도구,동삼동,314,부산광역시,26200,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,120.0,1980-05-28,46,79.0,0.6583333333333333,0.0,1.0,1.0,2,35.078541262951,129.071576703417,부산광역시 영도구 웃서발로 92,True,0.008333333333333333,,,,,,,,,,,
A10020395,정성재아파트,남구,대연동,1918,부산광역시,26290,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,58.0,2019-09-27,6,60.0,1.0344827586206897,0.0,1.0,4.0,1,35.1303385683753,129.099413005228,부산광역시 남구 유엔로 211,True,0.06896551724137931,,,,,,,,,,,
A10020434,현대신델라,사하구,괴정동,342-3,부산광역시,26380,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,131.0,1989-12-05,36,53.0,0.40458015267175573,0.0,1.0,2.0,4,35.1042274192036,129.003840143718,부산광역시 사하구 낙동대로 106,True,0.015267175572519083,,,,0.08670520231213863,,188000000.0,0.0,163000000.0,0.15337423312883436,1.0,True
A10020442,대티역스마트더블유인공지능,사하구,괴정동,322-1,부산광역시,26380,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,126.0,2019-09-11,7,50.0,0.3968253968253968,0.0,1.0,6.0,3,35.1029750375863,129.000802771143,부산광역시 사하구 낙동대로 137,True,0.047619047619047616,,,,0.016129032258064502,-0.009271523178807972,435000000.0,-0.13103448275862073,370000000.0,0.021621621621621623,1.0,True
A10020458,시민공원비스타동원,부산진구,부암동,759,부산광역시,26230,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,440.0,2025-08-29,1,502.0,1.1409090909090909,1.0,1.0,2.0,1,35.1661847296279,129.046786570592,부산광역시 부산진구 동평로 149,True,0.004545454545454545,,,,,,,,,,,
A10020470,제일아파트,동래구,낙민동,186-13,부산광역시,26260,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,144.0,1995-11-18,30,,,1.0,3.0,9.0,2,35.1991493586831,129.089394919423,부산광역시 동래구 낙민로 14,True,0.0625,,,,-0.050000000000000044,-0.125,370000000.0,-0.22972972972972971,240000000.0,0.1875,1.0,True
A10020475,새연산(588-1),연제구,연산동,588-1,부산광역시,26470,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,368.0,2025-08-28,1,,,0.0,0.0,0.0,4,35.1888396838777,129.083478942879,부산광역시 연제구 세병로 7,True,0.0,,,,,,410000000.0,0.0,360000000.0,0.13888888888888884,0.0,True
A10020525,동일,사하구,감천동,648,부산광역시,26380,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,142.0,1987-10-17,38,72.0,0.5070422535211268,2.0,2.0,3.0,5,35.0911975488938,128.998467274975,부산광역시 사하구 감천로 53,True,0.02112676056338028,,,,,,225000000.0,0.0,225000000.0,0.0,0.0,True
A10020530,모라동골든파크,사상구,모라동,991-2,부산광역시,26530,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,122.0,2005-10-04,20,160.0,1.3114754098360655,0.0,1.0,1.0,1,35.1894815150476,128.989105319234,부산광역시 사상구 사상로 508,True,0.00819672131147541,,,,,-0.018404907975460127,275000000.0,-0.12727272727272732,218000000.0,0.10091743119266061,1.0,True
A10020573,삼한,금정구,금사동,561-1,부산광역시,26410,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,131.0,1992-01-29,34,75.0,0.5725190839694656,0.0,1.0,3.0,2,35.2130088456305,129.109649182961,부산광역시 금정구 중군진로 21,True,0.022900763358778626,,,,0.08629441624365475,0.17582417582417587,218000000.0,-0.01834862385321101,170000000.0,0.2588235294117647,1.0,True
A10020621,포레나부산덕천3차,북구,덕천동,361,부산광역시,26320,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,429.0,2025-05-20,1,478.0,1.1142191142191142,0.0,0.0,1.0,3,35.2139753248583,129.01754424911,부산광역시 북구 만덕대로 127,True,0.002331002331002331,,,,,,570000000.0,-0.0035087719298245723,568000000.0,0.0,0.0,True
A10020637,금정더유엘프리미어,금정구,청룡동,45-2,부산광역시,26410,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,121.0,2022-05-31,4,132.0,1.0909090909090908,1.0,2.0,4.0,1,35.2757997730239,129.087860707138,부산광역시 금정구 청룡로 42,True,0.03305785123966942,,,,,,,,,,,
A10020638,월드파크4,연제구,연산동,309-5,부산광역시,26470,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,113.0,2017-10-30,8,54.0,0.4778761061946903,4.0,4.0,8.0,3,35.1895287659049,129.092978013422,부산광역시 연제구 과정로 320,True,0.07079646017699115,,,,,,,,,,,
A10020645,강서자이에코델타,강서구,강동동,BL-20,부산광역시,26440,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,856.0,2025-04-29,1,1116.0,1.3037383177570094,0.0,0.0,2.0,2,35.1432134027804,128.914188933677,부산광역시 강서구 에코델타1로 24,True,0.002336448598130841,,,,,,628000000.0,0.0,628000000.0,0.0,0.0,True
A10020655,장원하이드파크,양산시,평산동,83-2,경상남도,48330,yangsan,양산,GYEONGNAM,양산시,YANGSAN,False,True,136.0,2015-10-27,10,124.0,0.9117647058823529,5.0,6.0,15.0,4,35.3835864027598,129.151475664492,경상남도 양산시 평산6길 22,True,0.11029411764705882,,,,,,,,,,,
A10020675,초읍월드메르디앙에듀포레,부산진구,초읍동,679,부산광역시,26230,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,116.0,2024-12-27,1,,,3.0,7.0,13.0,2,35.1798130052511,129.056911429736,부산광역시 부산진구 성지로94번길 74,True,0.11206896551724138,,,,,,,,,,,
A10020679,동산그린,남구,용호동,566-1,부산광역시,26290,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,114.0,1988-09-15,38,,,0.0,0.0,0.0,3,35.1142370787864,129.115223630517,부산광역시 남구 동명로170번길 101,True,0.0,,,,,,,,,,,
A10020680,진례장원하이드파크,김해시,진례면청천리,787-1,경상남도,48250,gimhae,김해,GYEONGNAM,김해시,GIMHAE,False,True,113.0,2005-12-09,20,,,0.0,0.0,4.0,1,35.2601731309606,128.74653458745,경상남도 김해시 진례로371번길 24,True,0.035398230088495575,,,,,0.09090909090909083,140000000.0,-0.1428571428571429,90000000.0,0.33333333333333326,0.0,True
A10020687,광남백조맨션(1동),김해시,봉황동,455-2,경상남도,48250,gimhae,김해,GYEONGNAM,김해시,GIMHAE,False,True,120.0,1988-09-21,38,,,0.0,1.0,2.0,3,35.2341317995254,128.873714256553,경상남도 김해시 가야의길 98-18,True,0.016666666666666666,,,,,,170750000.0,-0.004392386530014614,118000000.0,0.44067796610169485,0.0,True
A10020688,하단지오피아,사하구,하단동,520-1,부산광역시,26380,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,114.0,2006-11-24,19,,,1.0,1.0,1.0,2,35.1085409864523,128.960497797435,부산광역시 사하구 낙동남로1357번길 46,True,0.008771929824561403,,,,,,,,,,,
A10020702,센텀이진캐스빌,해운대구,재송동,111,부산광역시,26350,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,147.0,1993-08-04,33,132.0,0.8979591836734694,0.0,0.0,1.0,1,35.1828994656358,129.127880709978,부산광역시 해운대구 재반로42번길 23,True,0.006802721088435374,,,,,0.3151515151515152,255000000.0,-0.14901960784313728,150000000.0,0.44666666666666677,0.0,True
A10020704,대우월드피아,양산시,평산동,76-2,경상남도,48330,yangsan,양산,GYEONGNAM,양산시,YANGSAN,False,True,120.0,2014-09-05,12,57.0,0.475,0.0,0.0,2.0,2,35.3833157733723,129.152341808903,경상남도 양산시 평산중앙로 46,True,0.016666666666666666,,,,,,,,,,,
A10020721,백양산서희스타힐스,부산진구,부암동,610-88,부산광역시,26230,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,1295.0,2025-03-25,1,1405.0,1.084942084942085,4.0,9.0,24.0,3,35.172540323275,129.033133031769,부산광역시 부산진구 백양산로 22,True,0.018532818532818532,,,,-0.10558067831449125,-0.003329349496329126,492500000.0,-0.10152284263959388,427770000.0,0.03443439231362655,3.0,False
A10020732,구서벽산메가트리움,금정구,구서동,420-17,부산광역시,26410,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,126.0,2004-10-28,21,136.0,1.0793650793650793,1.0,6.0,7.0,3,35.2437215003698,129.091371509773,부산광역시 금정구 부곡온천천로 206,True,0.05555555555555555,247000000.0,9641133.610900832,-0.027559055118110187,-0.05471698113207546,-0.055762081784386575,305000000.0,-0.19016393442622948,247000000.0,0.0,3.0,False
A10020754,서면서한이다음,부산진구,범천동,1123-124,부산광역시,26230,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,498.0,2025-02-10,1,554.0,1.1124497991967872,0.0,0.0,3.0,2,35.1520476223741,129.044716483897,부산광역시 부산진구 엄광로384번길 48,True,0.006024096385542169,,,,,,,,,,,
A10020763,김해구산푸르지오파크테르,김해시,구산동,1096,경상남도,48250,gimhae,김해,GYEONGNAM,김해시,GIMHAE,False,True,534.0,2025-02-27,1,703.0,1.3164794007490637,0.0,0.0,1.0,1,35.2572460715188,128.870781667874,경상남도 김해시 가락로 354,True,0.0018726591760299626,,,,,,,,,,,
A10020779,동일,금정구,구서동,735-1,부산광역시,26410,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,149.0,1986-07-11,40,80.0,0.5369127516778524,0.0,0.0,2.0,3,35.256376570651,129.087185504676,부산광역시 금정구 구서중앙로40번길 48,True,0.013422818791946308,,,,,,,,,,,
A10020780,국제그린,금정구,부곡동,788-78,부산광역시,26410,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,122.0,1996-02-29,30,89.0,0.7295081967213115,0.0,0.0,2.0,3,35.2179085424584,129.088771606115,부산광역시 금정구 부곡로18번길 24,True,0.01639344262295082,,,,,-0.01741616844294258,259000000.0,-0.2702702702702703,170000000.0,0.11176470588235299,0.0,True
A10020784,화신거화,부산진구,전포동,191-3,부산광역시,26230,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,115.0,1993-06-24,33,76.0,0.6608695652173913,1.0,2.0,4.0,3,35.1595640388836,129.071058651563,부산광역시 부산진구 진남로 388,True,0.034782608695652174,,,,0.017964071856287456,-0.07417582417582413,238000000.0,-0.2857142857142857,165000000.0,0.030303030303030276,1.0,True
A10020803,동원로얄듀크,금정구,부곡동,224-5,부산광역시,26410,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,114.0,2005-10-31,20,195.0,1.7105263157894737,0.0,5.0,9.0,2,35.2383330494854,129.089862227688,부산광역시 금정구 수림로19번길 26,True,0.07894736842105263,,,,-0.0561797752808989,,560000000.0,-0.2857142857142857,400000000.0,0.0,4.0,False
A10020804,부산대역삼정그린코아스카이동,금정구,부곡동,297-1,부산광역시,26410,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,248.0,2013-04-23,13,4.0,0.016129032258064516,2.0,2.0,4.0,1,35.2286668580805,129.090954857822,부산광역시 금정구 중앙대로 1616,True,0.016129032258064516,,,,,,,,,,,
A10020805,부산대역삼정그린코아마운틴동,금정구,부곡동,297-13,부산광역시,26410,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,247.0,2013-04-23,13,4.0,0.016194331983805668,0.0,2.0,5.0,1,35.2284205166925,129.090827837632,부산광역시 금정구 중앙대로 1614,True,0.020242914979757085,,,,,,,,,,,
A10020806,경동아파트,금정구,남산동,122-10,부산광역시,26410,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,144.0,1993-08-26,33,,,1.0,1.0,2.0,2,35.2640916831223,129.091136343489,부산광역시 금정구 학산로 5,True,0.013888888888888888,285000000.0,11236559.139784945,,-0.07467532467532467,,308000000.0,-0.07467532467532467,234500000.0,0.21535181236673773,1.0,True
A10020807,더스카이시티제니스앤프라우,김해시,신문동,1540,경상남도,48250,gimhae,김해,GYEONGNAM,김해시,GIMHAE,False,True,3764.0,2025-02-11,1,5298.0,1.4075451647183848,16.0,29.0,52.0,4,35.1854802875889,128.821706503572,경상남도 김해시 장유로 500,True,0.01381509032943677,482500000.0,18744878.930862032,0.16828087167070227,0.18240620957309184,0.11435726210350583,514000000.0,-0.06128404669260701,350000000.0,0.37857142857142856,12.0,False
A10020808,사하삼정그린코아더시티,사하구,하단동,510-15,부산광역시,26380,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,216.0,2025-01-15,1,270.0,1.25,0.0,1.0,5.0,3,35.108246004549,128.96775532682,부산광역시 사하구 승학로3번길 47,True,0.023148148148148147,,,,-0.08039215686274515,,510000000.0,-0.08039215686274515,469000000.0,0.0,1.0,True
A10020827,비룡벨로스텔라,사상구,덕포동,416-7,부산광역시,26530,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,143.0,2020-02-17,6,,,0.0,2.0,4.0,2,35.1731453817823,128.984301839633,부산광역시 사상구 사상로 320,True,0.027972027972027972,,,,,,,,,,,
A10020856,골든팰리스더리치,부산진구,범천동,974-2,부산광역시,26230,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,102.0,2019-06-24,7,112.0,1.0980392156862746,0.0,0.0,2.0,2,35.148009802806,129.056652960608,부산광역시 부산진구 범천로12번길 13,True,0.0196078431372549,,,,,,,,,,,
A10020859,동우강변타워2,양산시,상북면석계리,7,경상남도,48330,yangsan,양산,GYEONGNAM,양산시,YANGSAN,False,True,114.0,1993-09-18,33,74.0,0.6491228070175439,0.0,1.0,6.0,2,35.4225468536311,129.064825594664,경상남도 양산시 상북중앙로 447,True,0.05263157894736842,,,,-0.23076923076923073,-0.021739130434782594,125000000.0,-0.43999999999999995,70000000.0,0.0,1.0,True
A10020870,양정자이더샵SKVIEW아파트(1단지),부산진구,양정동,540,부산광역시,26230,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,2276.0,2025-01-24,1,2839.0,1.2473637961335677,11.0,14.0,17.0,4,35.1716287279998,129.075270843938,부산광역시 부산진구 진남로 554,True,0.007469244288224956,851250000.0,33082575.054881155,,,0.135,872500000.0,-0.04871060171919772,750000000.0,0.10666666666666669,3.0,False
A10020951,유성해네스타워,부산진구,전포동,362-3,부산광역시,26230,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,126.0,2014-03-21,12,,,0.0,0.0,1.0,1,35.1518174759171,129.065893494272,부산광역시 부산진구 전포대로 170,True,0.007936507936507936,,,,,,,,,,,
A10020963,삼한3차301동,해운대구,반송동,883,부산광역시,26350,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,143.0,1999-11-23,26,,,0.0,1.0,3.0,1,35.2280347105958,129.16442546055,부산광역시 해운대구 신반송로 96,True,0.02097902097902098,,,,0.12676056338028174,-0.0330788804071247,219000000.0,-0.08675799086757996,165000000.0,0.21212121212121215,1.0,True
A10020971,미주,부산진구,부암동,332-6,부산광역시,26230,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,198.0,1986-09-13,40,,,0.0,0.0,2.0,3,35.1662976173507,129.044542432476,부산광역시 부산진구 동평로131번길 8,True,0.010101010101010102,,,,,,,,,,,
A10020978,주공아파트,김해시,어방동,816,경상남도,48250,gimhae,김해,GYEONGNAM,김해시,GIMHAE,False,True,220.0,1989-11-15,36,105.0,0.4772727272727273,1.0,2.0,2.0,2,35.238504900854,128.901882788272,경상남도 김해시 활천로166번길 28,True,0.00909090909090909,,,,,,,,,,,
A10020980,북항에코하임센트럴뷰,동구,수정동,389-20,부산광역시,26170,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,105.0,2023-08-31,3,24.0,0.22857142857142856,0.0,17.0,17.0,2,35.1234235553713,129.041157573806,부산광역시 동구 초량상로 138,True,0.1619047619047619,,,,,,,,,,,
A10021016,쌍용더플래티넘오시리아,기장군,기장읍연화리,517,부산광역시,26710,busan,부산,BUSAN,부산광역시,BUSAN_GIJANG,True,False,191.0,2024-12-10,1,227.0,1.1884816753926701,0.0,0.0,1.0,1,35.216128809262,129.224774178577,부산광역시 기장군 연화길 24,True,0.005235602094240838,,,,,,772890000.0,0.0,772890000.0,0.0,0.0,True
A10021024,광하주택3,해운대구,반송동,93-6,부산광역시,26350,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,250.0,1987-12-14,38,145.0,0.58,1.0,3.0,6.0,3,35.2308074255822,129.161071898662,부산광역시 해운대구 신반송로 194,True,0.024,,,,,,,,,,,
A10021046,송도탑스빌,서구,암남동,255-1,부산광역시,26140,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,125.0,2000-06-10,26,377.0,3.016,2.0,2.0,3.0,2,35.0778696423133,129.018518819385,부산광역시 서구 충무대로 56,True,0.024,,,,,,,,,,,
A10021073,협진태양,사하구,당리동,532,부산광역시,26380,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,265.0,1982-03-31,44,111.0,0.4188679245283019,0.0,0.0,2.0,1,35.0985223501239,128.976938758993,부산광역시 사하구 다대로 30,True,0.007547169811320755,,,,,,,,,,,
A10021074,장림협진태양,사하구,장림동,65,부산광역시,26380,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,148.0,1989-05-02,37,,,1.0,1.0,2.0,4,35.0783790631708,128.979708432193,부산광역시 사하구 두송로 32,True,0.013513513513513514,,,,,,142000000.0,-0.2605633802816901,82000000.0,0.2804878048780488,0.0,True
A10021102,개금동포르투나,부산진구,개금동,523-27,부산광역시,26230,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,121.0,2019-07-19,7,162.0,1.3388429752066116,3.0,3.0,6.0,2,35.1517508521743,129.020608015723,부산광역시 부산진구 복지로 15,True,0.049586776859504134,,,,,,,,,,,
A10021108,서린엘마르센트로뷰,중구,중앙동4가,19,부산광역시,26110,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,120.0,2021-05-27,5,240.0,2.0,0.0,0.0,2.0,2,35.1040994512517,129.037184540103,부산광역시 중구 대교로 157,True,0.016666666666666666,,,,,,,,,,,
A10021131,새동래3,동래구,수안동,34-1,부산광역시,26260,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,200.0,1981-12-15,44,80.0,0.4,1.0,2.0,2.0,1,35.1962391753715,129.086417308025,부산광역시 동래구 온천천로285번길 28,True,0.01,,,,,,,,,,,
A10021160,럭키골든스위트,해운대구,중동,1199-4,부산광역시,26350,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,100.0,2019-12-06,6,115.0,1.15,0.0,4.0,8.0,3,35.1630545358932,129.167846778451,부산광역시 해운대구 해운대해변로 346,True,0.08,,,,,0.11543450064850846,627730000.0,-0.31499211444410813,321000000.0,0.33956386292834884,1.0,True
A10021168,광안협성엠파이어Ⅱ,수영구,광안동,142-6,부산광역시,26500,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,125.0,2013-02-12,13,,,0.0,2.0,4.0,2,35.1583516793015,129.113652288614,부산광역시 수영구 수영로588번길 7,True,0.032,,,,,,,,,,,
A10021181,허브팰리스서면,부산진구,부전동,38,부산광역시,26230,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,126.0,2021-06-04,5,,,1.0,1.0,5.0,3,35.1642982427676,129.061888113442,부산광역시 부산진구 부전로 193,True,0.03968253968253968,,,,,,,,,,,
A10021189,해운파크맨션,해운대구,우동,397-68,부산광역시,26350,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,160.0,1985-04-03,41,,,0.0,0.0,0.0,3,35.1670914307369,129.156984536359,부산광역시 해운대구 우동1로71번길 9-9,True,0.0,,,,,,,,,,,
A10021191,헤리츠리더스하단,사하구,하단동,618-1,부산광역시,26380,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,142.0,2021-12-09,4,138.0,0.971830985915493,0.0,0.0,7.0,3,35.1052403926508,128.968580641415,부산광역시 사하구 낙동대로457번길 5,True,0.04929577464788732,,,,,,,,,,,
A10021196,대동맨션,중구,동광동5가,16-11,부산광역시,26110,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,120.0,1981-06-12,45,70.0,0.5833333333333334,0.0,0.0,2.0,2,35.1073357939697,129.033769374286,부산광역시 중구 동광길93번길 5,True,0.016666666666666666,,,,,,185000000.0,-0.10810810810810811,155000000.0,0.06451612903225801,0.0,True
A10021197,파크아트온,금정구,장전동,604-21,부산광역시,26410,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,104.0,2018-06-27,8,15.0,0.14423076923076922,0.0,2.0,3.0,2,35.2239123530917,129.08474800402,부산광역시 금정구 식물원로29번길 15,True,0.028846153846153848,,,,,,,,,,,
A10021198,부원,중구,대창동1가,54-67,부산광역시,26110,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,144.0,1972-11-04,53,,,0.0,0.0,1.0,3,35.1078467905881,129.0358337725,부산광역시 중구 중앙대로115번길 1-6,True,0.006944444444444444,,,,,,,,,,,
A10021201,현대1차,해운대구,반여동,1581-6,부산광역시,26350,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,120.0,1989-01-07,37,110.0,0.9166666666666666,1.0,4.0,12.0,3,35.1950663310378,129.116667552559,부산광역시 해운대구 선수촌로21번길 31,True,0.1,,,,3.5769230769230766,-0.42460317460317465,940000000.0,-0.3670212765957447,115000000.0,4.173913043478261,2.0,True
A10021202,구서역포르투나,금정구,구서동,415-5,부산광역시,26410,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,145.0,2022-04-22,4,,,1.0,1.0,1.0,1,35.2459576567469,129.090205571014,부산광역시 금정구 수림로50번길 150,True,0.006896551724137931,,,,,,,,,,,
