sigungu,dong,complex_count,households,transactions_12m,turnover_12m,median_age,median_84_price,change_6m,change_12m,drawdown
서구,부민동3가,2,613.0,24.0,0.03915171288743882,22.0,,0.0608695652173914,0.0,-0.2682926829268293
서구,부용동1가,9,152.0,15.0,0.09868421052631579,11.0,321500000.0,,0.04022988505747116,-0.08934671860952953
서구,서대신동1가,27,959.0,86.0,0.08967674661105318,8.0,210000000.0,-0.038912133891213396,-0.05238592707420636,-0.07488986784140972
서구,서대신동2가,32,1805.0,137.0,0.07590027700831024,5.0,620000000.0,0.029629629629629672,-0.01710076924487236,-0.016237663376900524
서구,서대신동3가,40,3147.0,109.0,0.03463616142357801,23.0,340500000.0,-0.01769749518304431,-0.011133717399226084,-0.06982257197321473
서구,아미동2가,5,,6.0,,,,,,0.0
서구,암남동,34,4894.0,248.0,0.05067429505516959,26.0,425000000.0,0.0,-0.03049583150504609,-0.09859154929577463
서구,초장동,1,,0.0,,,,,,
서구,충무동1가,4,,11.0,,,405000000.0,0.012499999999999956,-0.012820512820512775,-0.0747863247863248
서구,충무동2가,10,,7.0,,,,,,
서구,충무동3가,1,,5.0,,,,,,
서구,토성동1가,5,653.0,37.0,0.05666156202143951,14.5,391000000.0,-0.040697371844912844,0.004993757802746579,-0.09252525252525257
서구,토성동2가,3,,3.0,,,,,0.10505836575875493,0.0
서구,토성동3가,3,,2.0,,,,,,-0.06614785992217898
서구,토성동5가,15,,32.0,,,182000000.0,-0.07258064516129037,-0.04383484162895929,-0.14074074074074072
수영구,광안동,186,7589.0,461.0,0.060745816313084726,19.0,511250000.0,0.05263157894736836,0.02961918194640334,-0.018771331058020424
수영구,남천동,50,9093.0,582.0,0.06400527878587925,21.5,880000000.0,0.03961158815504373,0.08529411764705874,-0.06382978723404253
수영구,망미동,44,5903.0,266.0,0.04506183296628833,22.0,450500000.0,0.022900763358778553,-0.018243024010382858,-0.1507936507936508
수영구,민락동,44,7080.0,395.0,0.0557909604519774,11.0,610000000.0,0.02889689681718033,0.0092592592592593,-0.10999999999999999
수영구,수영동,17,2287.0,68.0,0.029733275032794052,22.0,595000000.0,-0.05553126366418892,0.016408386508659945,-0.2181553918663393
연제구,거제동,81,21232.0,1139.0,0.053645440844009046,23.0,417500000.0,0.02777777777777768,0.06461538461538452,-0.13432835820895528
연제구,연산동,250,29696.0,1509.0,0.05081492456896552,19.5,391250000.0,0.02310654685494229,0.018584703359542543,-0.11168231865284972
영도구,남항동1가,10,184.0,32.0,0.17391304347826086,10.0,,-0.09298531810766719,0.011206896551724244,-0.06538461538461537
영도구,남항동2가,4,,3.0,,,168000000.0,,,-0.09999999999999998
