internal_complex_id,complex_name,sigungu,dong,households,approval_date,apartment_age,parking_total,parking_per_household,transactions_3m,transactions_6m,transactions_12m,area_variety,latitude,longitude,road_address,provisional,turnover_12m,price_84,price_84_per_3_3sqm,price_change_3m,price_change_6m,price_change_12m,rolling_peak,drawdown_from_peak,rolling_trough,recovery_from_trough,sample_count,low_sample_flag,discount_vs_dong_mean,watch_label
A60475305,신다대,사하구,다대동,570.0,1991-12-22,34,162.0,0.28421052631578947,10.0,17.0,23.0,1,35.0677788241625,128.97774328445,부산광역시 사하구 다대로 400,True,0.04035087719298246,,,,,,,,,,,,,데이터 기반 노후단지
A60475408,국제그린,사하구,다대동,996.0,1995-05-01,31,539.0,0.5411646586345381,9.0,24.0,45.0,1,35.0660657761745,128.984454188143,부산광역시 사하구 다대로381번길 75,True,0.045180722891566265,,,,,,,,,,,,,데이터 기반 노후단지
A60475412,다송,사하구,다대동,500.0,1995-05-11,31,190.0,0.38,6.0,15.0,23.0,1,35.0642645919934,128.985861988552,부산광역시 사하구 다대로381번길 99,True,0.046,,,,,,,,,,,,,데이터 기반 노후단지
A60475509,다대푸른,사하구,다대동,640.0,1996-06-27,30,311.0,0.4859375,5.0,15.0,30.0,1,35.0516482081223,128.965077815255,부산광역시 사하구 다대낙조2길 11,True,0.046875,,,,,,,,,,,,,데이터 기반 노후단지
A60475612,다대포현대,사하구,다대동,2181.0,1993-09-09,32,2029.0,0.9303071985327831,7.0,20.0,43.0,4,35.0614810237866,128.979312755324,부산광역시 사하구 다대로 473,True,0.019715726730857405,225000000.0,8747643.732327992,-0.0625,-0.018575851393188847,-0.010288065843621408,348000000.0,-0.35344827586206895,188000000.0,0.19680851063829796,5.0,False,-0.039145907473309594,데이터 기반 노후단지
A60475803,다대다해,사하구,다대동,372.0,1986-11-03,39,132.0,0.3548387096774194,0.0,4.0,15.0,1,35.0670018985278,128.981883148782,부산광역시 사하구 다송로 7,True,0.04032258064516129,,,,,,,,,,,,,데이터 기반 노후단지
A60475903,신익강변타운,사하구,신평동,937.0,1992-03-25,34,501.0,0.5346851654215582,2.0,6.0,22.0,4,35.0954286698909,128.962988469135,부산광역시 사하구 하신중앙로 180,True,0.023479188900747065,180000000.0,6994636.21294588,0.004184100418409997,-0.04016064257028118,0.10355029585798814,250000000.0,-0.19999999999999996,148000000.0,0.3513513513513513,6.0,False,0.058045554739162286,데이터 기반 노후단지
A60476101,가락타운1,사하구,하단동,1746.0,1992-09-14,33,1272.0,0.7285223367697594,7.0,21.0,45.0,2,35.1102986564977,128.958536370229,부산광역시 사하구 하신번영로 365,True,0.02577319587628866,302000000.0,11734369.480748849,0.05964912280701751,-0.008993576017130578,-0.04754098360655734,450000000.0,-0.3533333333333334,216000000.0,0.3472222222222223,21.0,False,0.2144772117962468,데이터 기반 노후단지
A60476206,가락타운2,사하구,하단동,2980.0,1992-09-14,33,2277.0,0.7640939597315436,16.0,48.0,97.0,2,35.1010731620413,128.957963941885,부산광역시 사하구 하신번영로 233,True,0.032550335570469796,249000000.0,9675026.49240551,-0.07089552238805974,0.061928934010152314,-0.020408163265306145,368000000.0,-0.32336956521739135,187000000.0,0.3315508021390374,43.0,False,0.0013404825737266535,데이터 기반 노후단지
A60476511,자유,사하구,다대동,987.0,1993-10-05,32,700.0,0.7092198581560284,2.0,7.0,13.0,3,35.0516153734285,128.971564860205,부산광역시 사하구 다대로 617,True,0.013171225937183385,232500000.0,9029657.526185712,0.015283842794759916,-0.12264150943396224,-0.06954887218045114,315000000.0,-0.3015873015873016,160000000.0,0.375,5.0,False,-0.007117437722419906,데이터 기반 노후단지
